"•ÈÀ""LOCATION""",Country,CAT,Category,ACT,Activity,UNIT,Unit,VAR,Variable,SRC,Source,TIME,Time,Value,Flag Codes,Flags
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR212KOR,Food thrown away without being eaten in total food waste,SOURCE28,ECOREA 2011,2010,2010,4,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR293KOR,Food waste - Leftover,SOURCE28,ECOREA 2011,2010,2010,30,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR388KOR,Food Waste from distribution and cooking in total food waste,SOURCE28,ECOREA 2011,2010,2010,57,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR419KOR,Ingredient waste after storage,SOURCE28,ECOREA 2011,2010,2010,9,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNESBYDAY,tonnes/day,FWVAR395KOR,Food Waste in Gimcheon city,SOURCE29,ECOREA 2013,2010,2010,26.5,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNESBYDAY,tonnes/day,FWVAR395KOR,Food Waste in Gimcheon city,SOURCE29,ECOREA 2013,2012,2012,12.3,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2004,2004,11464,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2005,2005,12977,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2006,2006,13327,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2007,2007,14452,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2008,2008,15142,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2009,2009,14118,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2010,2010,13671,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2011,2011,13253,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2004,2004,4184360,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2005,2005,4736605,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2006,2006,4864355,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2007,2007,5274980,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2008,2008,5526830,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2009,2009,5153070,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2010,2010,4989915,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2011,2011,4837345,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2004,2004,0.239,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2005,2005,0.27,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2006,2006,0.276,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2007,2007,0.297,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2008,2008,0.309,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2009,2009,0.287,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2010,2010,0.277,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR379,Food Waste (generated daily),SOURCE58,Ministry of Environment,2011,2011,0.266,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2004,2004,87,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2005,2005,98,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2006,2006,101,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2007,2007,109,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2008,2008,113,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2009,2009,105,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2010,2010,101,,
KOR,Korea,FLFW,1. Food loss - Food waste,TOTAL,Total,KGBYCAPITA,kg/capita,FWVAR380,Food Waste (generated yearly),SOURCE58,Ministry of Environment,2011,2011,97,,
MEX,Mexico,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,1995,1995,15987040,,
MEX,Mexico,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2000,2000,16104090,,
MEX,Mexico,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2010,2010,20998800,,
MEX,Mexico,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR436,Mixed food waste,SOURCE62,OECD,1995,1995,15987040,,
MEX,Mexico,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR436,Mixed food waste,SOURCE62,OECD,2000,2000,16104090,,
MEX,Mexico,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR436,Mixed food waste,SOURCE62,OECD,2010,2010,20998800,,
NLD,Netherlands,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE7,BIO survey,2006,2006,9456000,,
NLD,Netherlands,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR149,Food Loss (Max e.),SOURCE30,EUROSTAT,2004,2004,39,,
NLD,Netherlands,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR150,Food Loss (Min e.),SOURCE30,EUROSTAT,2004,2004,32,,
NLD,Netherlands,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR141NET,Food Loss & Waste from food production (Max e.),SOURCE53,LNV 2010,2010,2010,20,,
NLD,Netherlands,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR9,Animal food waste,SOURCE62,OECD,2010,2010,2092000,,
NLD,Netherlands,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR520,Vegetal food waste,SOURCE62,OECD,2010,2010,8583000,,
NLD,Netherlands,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2010,2010,10675000,,
NLD,Netherlands,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR149,Food Loss (Max e.),SOURCE95,WUR 2004,2004,2004,39,,
NLD,Netherlands,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR150,Food Loss (Min e.),SOURCE95,WUR 2004,2004,2004,32,,
NOR,Norway,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE46,Halfdan K. OlafssÌün,2011,2011,361000,,
NOR,Norway,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2010,2010,377000,,
PRT,Portugal,FLFW,1. Food loss - Food waste,TOTAL,Total,PCT,%,FWVAR406POR,Food waste in total mixed waste,SOURCE52,LIPOR,2009,2009,29,,
SVK,Slovak Republic,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2010,2010,1527910,,
SWE,Sweden,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2010,2010,1010000,,
GBR,United Kingdom,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2010,2010,14700000,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR9,Animal food waste,SOURCE62,OECD,1995,1995,18965100,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR9,Animal food waste,SOURCE62,OECD,2000,2000,19972643.79,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR9,Animal food waste,SOURCE62,OECD,2009,2009,20804428.5,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR11USA,Animal waste generated,SOURCE62,OECD,1995,1995,18965100,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR11USA,Animal waste generated,SOURCE62,OECD,2000,2000,20804400,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR11USA,Animal waste generated,SOURCE62,OECD,2009,2009,20804400,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR520,Vegetal food waste,SOURCE62,OECD,1995,1995,34354500,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR520,Vegetal food waste,SOURCE62,OECD,2000,2000,37859910.43,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR520,Vegetal food waste,SOURCE62,OECD,2009,2009,39584941.7,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR522USA,Vegetal waste generated,SOURCE62,OECD,1995,1995,34354500,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR522USA,Vegetal waste generated,SOURCE62,OECD,2000,2000,37859900,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR522USA,Vegetal waste generated,SOURCE62,OECD,2009,2009,39584900,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,1995,1995,53319597.63,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2000,2000,57832554.22,,
USA,United States,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2009,2009,60389370.2,,
SVN,Slovenia,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR9,Animal food waste,SOURCE62,OECD,2010,2010,28700,,
SVN,Slovenia,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR520,Vegetal food waste,SOURCE62,OECD,2010,2010,11700,,
SVN,Slovenia,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR213,Food Waste,SOURCE62,OECD,2010,2010,217800,,
SVN,Slovenia,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR436,Mixed food waste,SOURCE62,OECD,2010,2010,177500,,
KOR,Korea,MAEI,3. Monetary and economic impact,TOTAL,Total,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR213,Food Waste,SOURCE29,ECOREA 2013,2013,2013,20000000,,
KOR,Korea,MAEI,3. Monetary and economic impact,TOTAL,Total,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR257KOR,Food Waste - Disposal cost,SOURCE29,ECOREA 2013,2013,2013,800000,,
NLD,Netherlands,MAEI,3. Monetary and economic impact,TOTAL,Total,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR213,Food Waste,SOURCE96,WUR 2007,2008,2008,2000,,
NOR,Norway,MAEI,3. Monetary and economic impact,TOTAL,Total,MILLIONEUR,Million EUR,FWVAR213,Food Waste,SOURCE46,Halfdan K. OlafssÌün,2011,2011,2500,,
CHN,China (People's Republic of),MAEI,3. Monetary and economic impact,TOTAL,Total,MILLIONUSD,Million USD,FWVAR56,Food Loss,SOURCE90,World Resource Institute,2013,2013,32000,,
