"´Žè""LOCATION""",Country,CAT,Category,ACT,Activity,UNIT,Unit,VAR,Variable,SRC,Source,TIME,Time,Value,Flag Codes,Flags
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE15,"Buzby & al., 2012",2008,2008,2.1,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR132,Food Loss - Vegetables,SOURCE15,"Buzby & al., 2012",2008,2008,30.2,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,2010,46700,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR64,Food Loss - Added fats and oils,SOURCE16,"Buzby & al., 2014",2010,2010,6600,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE16,"Buzby & al., 2014",2010,2010,1800,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR81,Food Loss - Eggs,SOURCE16,"Buzby & al., 2014",2010,2010,800,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR87,Food Loss - Fish and seafodd,SOURCE16,"Buzby & al., 2014",2010,2010,2100,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR89,Food Loss - Fluid milk,SOURCE16,"Buzby & al., 2014",2010,2010,2400,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR92,Food Loss - Fresh Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,4200,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR94,Food Loss - Fresh vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,6900,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR100,Food Loss - Grain products,SOURCE16,"Buzby & al., 2014",2010,2010,4300,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR104,Food Loss - Meat,SOURCE16,"Buzby & al., 2014",2010,2010,3800,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR114,Food Loss - Other Dairy products,SOURCE16,"Buzby & al., 2014",2010,2010,5900,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR115,Food Loss - Poultry,SOURCE16,"Buzby & al., 2014",2010,2010,2900,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR117,Food Loss - Processed Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,1500,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR119,Food Loss - Processed vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,2800,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE16,"Buzby & al., 2014",2010,2010,700,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,2010,151,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR64,Food Loss - Added fats and oils,SOURCE16,"Buzby & al., 2014",2010,2010,21,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE16,"Buzby & al., 2014",2010,2010,6,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR81,Food Loss - Eggs,SOURCE16,"Buzby & al., 2014",2010,2010,2,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR87,Food Loss - Fish and seafodd,SOURCE16,"Buzby & al., 2014",2010,2010,7,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR89,Food Loss - Fluid milk,SOURCE16,"Buzby & al., 2014",2010,2010,8,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR92,Food Loss - Fresh Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,14,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR94,Food Loss - Fresh vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,22,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR100,Food Loss - Grain products,SOURCE16,"Buzby & al., 2014",2010,2010,14,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR104,Food Loss - Meat,SOURCE16,"Buzby & al., 2014",2010,2010,12,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR114,Food Loss - Other Dairy products,SOURCE16,"Buzby & al., 2014",2010,2010,19,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR115,Food Loss - Poultry,SOURCE16,"Buzby & al., 2014",2010,2010,9,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR117,Food Loss - Processed Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,5,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR119,Food Loss - Processed vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,9,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE16,"Buzby & al., 2014",2010,2010,2,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR440USA,Plate Waste - Breads and other grains,SOURCE12,Buzby & al. 2002,1996,1996,13,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR441USA,Plate Waste - Canned or processed Fruit,SOURCE12,Buzby & al. 2002,1996,1996,21,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR442USA,Plate Waste - Cooked vegetables,SOURCE12,Buzby & al. 2002,1996,1996,42,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR443USA,Plate Waste - Fresh Fruit,SOURCE12,Buzby & al. 2002,1996,1996,22,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR444USA,Plate Waste - Meat alternates,SOURCE12,Buzby & al. 2002,1996,1996,21,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR445USA,Plate Waste - Meats,SOURCE12,Buzby & al. 2002,1996,1996,14,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR446USA,Plate Waste - Milk,SOURCE12,Buzby & al. 2002,1996,1996,11,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR447USA,Plate Waste - Raw vegetables/salad,SOURCE12,Buzby & al. 2002,1996,1996,30,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR169USA,Food Loss in schools (Max e.),SOURCE60,Muth et al. 2011,2005,2005,36,,
USA,United States,FLFW,1. Food loss - Food waste,SCHOOLCANTINES,School cantines,PCT,%,FWVAR170USA,Food Loss in schools (Min e.),SOURCE60,Muth et al. 2011,2005,2005,14,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR69,Food Loss - Added sweetners,SOURCE14,"Buzby & al., 2011",2008,2008,18,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR75,Food Loss - Dairy products,SOURCE14,"Buzby & al., 2011",2008,2008,17,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR81,Food Loss - Eggs,SOURCE14,"Buzby & al., 2011",2008,2008,14,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR84,Food Loss - Fats and oils,SOURCE14,"Buzby & al., 2011",2008,2008,14,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR86,Food Loss - Fish,SOURCE14,"Buzby & al., 2011",2008,2008,25,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR90,Food Loss - Fresh and processed Fruit,SOURCE14,"Buzby & al., 2011",2008,2008,15,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR91,Food Loss - Fresh and processed vegetables,SOURCE14,"Buzby & al., 2011",2008,2008,20,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR91,Food Loss - Fresh and processed vegetables,SOURCE14,"Buzby & al., 2011",2012,2012,20,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR100,Food Loss - Grain products,SOURCE14,"Buzby & al., 2011",2008,2008,18,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR104,Food Loss - Meat,SOURCE14,"Buzby & al., 2011",2008,2008,33,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR115,Food Loss - Poultry,SOURCE14,"Buzby & al., 2011",2008,2008,37,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR483USA,Total Food Loss,SOURCE14,"Buzby & al., 2011",2008,2008,19,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE14,"Buzby & al., 2011",2008,2008,9,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR56,Food Loss,SOURCE14,"Buzby & al., 2011",2008,2008,123.9206311,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR68,Food Loss - Added sweeteners,SOURCE14,"Buzby & al., 2011",2008,2008,11,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR75,Food Loss - Dairy products,SOURCE14,"Buzby & al., 2011",2008,2008,20.9,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR81,Food Loss - Eggs,SOURCE14,"Buzby & al., 2011",2008,2008,2,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR86,Food Loss - Fish,SOURCE14,"Buzby & al., 2011",2008,2008,1.8,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR90,Food Loss - Fresh and processed Fruit,SOURCE14,"Buzby & al., 2011",2008,2008,13.48422573,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR91,Food Loss - Fresh and processed vegetables,SOURCE14,"Buzby & al., 2011",2008,2008,24.58633769,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR100,Food Loss - Grain products,SOURCE14,"Buzby & al., 2011",2008,2008,15.68734535,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR104,Food Loss - Meat,SOURCE14,"Buzby & al., 2011",2008,2008,16.42122135,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR105,Food Loss - Meat + poultry + fish,SOURCE14,"Buzby & al., 2011",2008,2008,30.38425642,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR115,Food Loss - Poultry,SOURCE14,"Buzby & al., 2011",2008,2008,12.18204331,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE14,"Buzby & al., 2011",2008,2008,0.4,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR56,Food Loss,SOURCE14,"Buzby & al., 2011",2008,2008,37683.54729,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,2010,40777.95447,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR64,Food Loss - Added fats and oils,SOURCE14,"Buzby & al., 2011",2008,2008,1653.344205,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR64,Food Loss - Added fats and oils,SOURCE16,"Buzby & al., 2014",2010,2010,2041.165685,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR68,Food Loss - Added sugar and sweeteners,SOURCE14,"Buzby & al., 2011",2008,2008,6645.697354,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE16,"Buzby & al., 2014",2010,2010,5579.186206,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR75,Food Loss - Dairy products,SOURCE14,"Buzby & al., 2011",2008,2008,6361.633052,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR114,Food Loss - Dairy products,SOURCE16,"Buzby & al., 2014",2010,2010,7348.196467,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR81,Food Loss - Eggs,SOURCE14,"Buzby & al., 2011",2008,2008,600.1027115,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR81,Food Loss - Eggs,SOURCE16,"Buzby & al., 2014",2010,2010,952.5439864,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR86,Food Loss - Fish and seafodd,SOURCE14,"Buzby & al., 2011",2008,2008,541.1357028,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR87,Food Loss - Fish and seafodd,SOURCE16,"Buzby & al., 2014",2010,2010,680.3885617,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR90,Food Loss - Fresh and processed Fruit,SOURCE14,"Buzby & al., 2011",2008,2008,4100.475065,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR56,Food Loss,SOURCE15,"Buzby & al., 2012",2008,2008,19,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE15,"Buzby & al., 2012",2008,2008,9,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR171,Food Loss in supply - Added fats and oils,SOURCE15,"Buzby & al., 2012",2008,2008,13,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR172USA,Food Loss in supply - Added sugar and sweetners,SOURCE15,"Buzby & al., 2012",2008,2008,18,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR173USA,Food Loss in supply - Dairy products,SOURCE15,"Buzby & al., 2012",2008,2008,15,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR174,Food Loss in supply - Eggs,SOURCE15,"Buzby & al., 2012",2008,2008,14,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR175,Food Loss in supply - Fish and seafood,SOURCE15,"Buzby & al., 2012",2008,2008,25,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR176,Food Loss in supply - Fruit,SOURCE15,"Buzby & al., 2012",2008,2008,15,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR177USA,Food Loss in supply - Grain products,SOURCE15,"Buzby & al., 2012",2008,2008,18,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR178,Food Loss in supply - Meat,SOURCE15,"Buzby & al., 2012",2008,2008,34,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR180,Food Loss in supply - Poultry,SOURCE15,"Buzby & al., 2012",2008,2008,37,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR182,Food Loss in supply - Vegetables,SOURCE15,"Buzby & al., 2012",2008,2008,18,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR183USA,Food Loss in total food supply,SOURCE15,"Buzby & al., 2012",2008,2008,22,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR56,Food Loss,SOURCE15,"Buzby & al., 2012",2008,2008,123.9,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE15,"Buzby & al., 2012",2008,2008,11,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR75,Food Loss - Dairy products,SOURCE15,"Buzby & al., 2012",2008,2008,20.9,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR81,Food Loss - Eggs,SOURCE15,"Buzby & al., 2012",2008,2008,2,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR88,Food Loss - Fish and seafood,SOURCE15,"Buzby & al., 2012",2008,2008,1.8,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR96,Food Loss - Fruit,SOURCE15,"Buzby & al., 2012",2008,2008,13.5,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR100,Food Loss - Grain products,SOURCE15,"Buzby & al., 2012",2008,2008,15.7,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR104,Food Loss - Meat,SOURCE15,"Buzby & al., 2012",2008,2008,16.4,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR106,Food Loss - Meat + poultry and fish,SOURCE15,"Buzby & al., 2012",2008,2008,30.4,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR115,Food Loss - Poultry,SOURCE15,"Buzby & al., 2012",2008,2008,12.2,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE15,"Buzby & al., 2012",2008,2008,0.4,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR132,Food Loss - Vegetables,SOURCE15,"Buzby & al., 2012",2008,2008,24.6,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,2010,131.5417886,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR64,Food Loss - Added fats and oils,SOURCE16,"Buzby & al., 2014",2010,2010,6.803885617,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE16,"Buzby & al., 2014",2010,2010,18.14369498,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR81,Food Loss - Eggs,SOURCE16,"Buzby & al., 2014",2010,2010,3.175146622,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR87,Food Loss - Fish and seafodd,SOURCE16,"Buzby & al., 2014",2010,2010,2.267961873,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR89,Food Loss - Fluid milk,SOURCE16,"Buzby & al., 2014",2010,2010,15.42214073,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR92,Food Loss - Fresh Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,14.06136361,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR94,Food Loss - Fresh vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,18.59728735,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR100,Food Loss - Grain products,SOURCE16,"Buzby & al., 2014",2010,2010,16.32932548,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR104,Food Loss - Meat,SOURCE16,"Buzby & al., 2014",2010,2010,10.43262461,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR114,Food Loss - Other Dairy products,SOURCE16,"Buzby & al., 2014",2010,2010,8.164662741,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR115,Food Loss - Poultry,SOURCE16,"Buzby & al., 2014",2010,2010,5.896700868,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR117,Food Loss - Processed Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,4.082331371,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR119,Food Loss - Processed vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,7.711070366,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE16,"Buzby & al., 2014",2010,2010,0.453592375,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR92,Food Loss - Fresh and processed Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,5624.545444,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR91,Food Loss - Fresh and processed Vegetables,SOURCE14,"Buzby & al., 2011",2008,2008,7476.563109,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR94,Food Loss - Fresh and processed Vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,8210.021979,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR100,Food Loss - Grain products,SOURCE14,"Buzby & al., 2011",2008,2008,4770.431003,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR100,Food Loss - Grain products,SOURCE16,"Buzby & al., 2014",2010,2010,5125.593832,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR104,Food Loss - Meat,SOURCE14,"Buzby & al., 2011",2008,2008,4993.598451,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR104,Food Loss - Meat,SOURCE16,"Buzby & al., 2014",2010,2010,3265.865096,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR115,Food Loss - Poultry,SOURCE14,"Buzby & al., 2011",2008,2008,3704.488923,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR115,Food Loss - Poultry,SOURCE16,"Buzby & al., 2014",2010,2010,1769.010261,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE14,"Buzby & al., 2011",2008,2008,135.1705276,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE16,"Buzby & al., 2014",2010,2010,136.0777124,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR476USA,Solid waste,SOURCE86,US DATA EPA,2010,2010,34760000,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR479,Solid waste considered food waste,SOURCE86,US DATA EPA,1994,1994,8.2,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR479,Solid waste considered food waste,SOURCE86,US DATA EPA,1999,1999,11.2,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR479,Solid waste considered food waste,SOURCE86,US DATA EPA,2005,2005,11.9,,
USA,United States,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR479,Solid waste considered food waste,SOURCE86,US DATA EPA,2008,2008,12.7,,
USA,United States,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR90,Food Loss - Fresh and processed Fruit,SOURCE14,"Buzby & al., 2011",2008,2008,9340,,
